YEAR,SPECIES_CD,analysis_group,nstrat,n,wavdns,se_wdns,wcv_dns,wavp,se_wp,abd,se_abd
2022,ACR CERV,MIR_GRP,6,100,0.057421573102084275,0.027176440357685537,47.32792727459968,0.06878442111668949,0.023351494306846916,134797.1428571428,255.18677495866717
2024,ACR CERV,MIR_GRP,7,121,0.005690225738036616,0.003900842861577243,68.5533938575029,0.020277723604982815,0.011397178774755217,14453.173374613003,39.63256347362479
2022,ACR PALM,MIR_GRP,6,86,0.013094411260823264,0.011439798666891331,87.36397871600144,0.01870630180117609,0.012165279088893612,30739.130434782615,107.4197094821096
2022,COL NATA,MIR_GRP,6,100,0.03267181398651047,0.005809051786624246,17.780009977476873,0.12007099751508697,0.014872380609865211,76697.08333333331,54.54699627640167
2024,COL NATA,MIR_GRP,7,121,0.0200200710205342,0.005402156528436431,26.983703119212432,0.0919329936699089,0.01966361578557482,50850.980392156875,54.885910328914136
2022,DIC STOK,MIR_GRP,6,100,0.012618312287641362,0.0039721535138816134,31.479277286329516,0.12618312287641362,0.03972153513881613,29621.488095238095,37.298521495348346
2024,DIC STOK,MIR_GRP,7,121,0.011086074815338486,0.0037157660746400395,33.51741835170529,0.08560696553797649,0.02415358045677057,28158.63003095975,37.7521833183428
2022,DIP LABY,MIR_GRP,6,100,0.012186596683401798,0.003198047479624326,26.242334613240146,0.09257949186064202,0.023633755983360597,28608.035714285717,30.02966583367242
2024,DIP LABY,MIR_GRP,7,121,0.006378338737069632,0.002419039511099085,37.925855161001564,0.054761077659410226,0.019848961102512226,16200.980392156864,24.577441432766697
2022,MEA MEAN,MIR_GRP,6,100,0.003940362087326944,0.0030133458608990232,76.47383144281575,0.039403620873269436,0.030133458608990228,9250,28.295317633841826
2024,MEA MEAN,MIR_GRP,7,121,5.232076253626193e-4,4.714333523602758e-4,90.10444984121546,0.005232076253626192,0.004714333523602759,1328.947368421053,4.789762859980402
2022,MON CAVE,MIR_GRP,6,100,0.03699487803641158,0.007801132831105061,21.087061899290298,0.23056620518281862,0.04450571605948397,86845.47619047618,73.25263728407651
2024,MON CAVE,MIR_GRP,7,121,0.0880347935240856,0.018573055388365654,21.097403248051258,0.2918859972312777,0.03834075799878156,223608.37555117742,188.70224274579502
2022,PSE CLIV,MIR_GRP,6,100,0.004423677671281505,0.0018334903792165866,41.44719655140332,0.04423677671281505,0.018334903792165864,10384.583333333334,17.216474660843748
2024,PSE CLIV,MIR_GRP,7,121,0.001569622876087858,7.941711232363681e-4,50.596301527903776,0.015696228760878575,0.007941711232363683,3986.842105263159,8.0687786120815
2022,PSE STRI,MIR_GRP,6,100,0.012260003042750647,0.006250359169203086,50.981709771262494,0.07893655864901872,0.03380931325968254,28780.357142857145,58.69087259881697
2024,PSE STRI,MIR_GRP,7,121,0.005759814078967684,0.0023765931425916093,41.261629455538944,0.05197150036972932,0.020022418692407656,14629.927760577917,24.14618632873075
2022,ACR CERV,NCRMP_GRP,6,251,0.003662380965324446,0.0016363680457810832,44.680443167280366,0.019096490109468702,0.007788844711334266,969542.1129503404,1732.7828510385045
2024,ACR CERV,NCRMP_GRP,7,356,0.0013764420833214273,0.0010341500822360645,75.13211741830835,0.011567025325153307,0.009618637032574394,396718.1372549018,1192.2509468083142
2022,ACR PALM,NCRMP_GRP,3,4,0,NA,0,0,NA,0,NA
2022,COL NATA,NCRMP_GRP,6,251,0.018066501826059574,0.0037397514002301263,20.69991986404261,0.09284618821598702,0.01599970834189177,4782745.028412752,3960.097552731685
2024,COL NATA,NCRMP_GRP,7,356,0.012778794431288947,0.0026093664380079686,20.41950398402936,0.08082607186409002,0.0170943102316302,3683104.1309861005,3008.2863790506267
2022,DIC STOK,NCRMP_GRP,6,251,0.03779241450252564,0.005752577586728661,15.221513794373259,0.27853315242191157,0.04263981321162596,10004785.891253613,6091.519458138715
2024,DIC STOK,NCRMP_GRP,7,356,0.029708776929536947,0.003826488215514026,12.87999241634774,0.2086688685205121,0.023840330262505788,8562663.68663114,4411.481733901811
2022,DIP LABY,NCRMP_GRP,6,251,0.014015211595427074,0.003346063104737215,23.87451007752875,0.10995612984141301,0.028090251292054984,3710246.965657409,3543.2131428683315
2024,DIP LABY,NCRMP_GRP,7,356,0.01835307664788935,0.0032638530053271304,17.783683182636747,0.15624084659782353,0.02628496362436402,5289723.751454669,3762.8308527815425
2022,MEA MEAN,NCRMP_GRP,6,251,0.0013338270111710642,6.738956630196343e-4,50.523467989148905,0.013338270111710642,0.006738956630196338,353104.0246673159,713.6015954847512
2024,MEA MEAN,NCRMP_GRP,7,356,0.0024584960075575792,7.847544354632666e-4,31.92010208887383,0.022284162195788545,0.006778605370038139,708587.7192982456,904.7276935568909
2022,MON CAVE,NCRMP_GRP,6,251,0.1498940493137142,0.01469184815358868,9.801488598683473,0.49080364363985673,0.04393698597744815,39681451.67481956,15557.491846798124
2024,MON CAVE,NCRMP_GRP,7,356,0.1454716386718124,0.012793307229350043,8.794365242706903,0.5140829099721641,0.033352773608070076,41927835.69798978,14749.14803857308
2022,PSE CLIV,NCRMP_GRP,6,251,0.005481699628111998,0.001805098717610869,32.92954448568681,0.03325712142134606,0.009866008419713846,1451170.342550089,1911.455134052501
2024,PSE CLIV,NCRMP_GRP,7,356,0.006681524785963601,0.0016048666285117929,24.019466812175285,0.05744316725698783,0.013820077083224724,1925749.073810429,1850.218638678676
2022,PSE STRI,NCRMP_GRP,6,251,0.014181462023415994,0.003552770549188365,25.052216360500346,0.1013151482336649,0.02332838436258064,3754258.441458916,3762.0997899465438
2024,PSE STRI,NCRMP_GRP,7,356,0.012119926875121999,0.0022517929193948964,18.579261596182114,0.119001873243159,0.02222318231522279,3493205.323947663,2596.047020911988
